date,hour,Average Wait Time,Max WaitTime
10/26/2019,1800 - 1900,25,57
10/26/2019,1900 - 2000,14,51
10/26/2019,2000 - 2100,21,82
10/26/2019,2100 - 2200,3,10
10/26/2019,2200 - 2300,5,26
10/26/2019,2300 - 0000,7,18
10/26/2019,0500 - 0600,14,36
10/26/2019,0600 - 0700,27,75
10/26/2019,0700 - 0800,24,64
10/26/2019,0800 - 0900,11,36
10/26/2019,0900 - 1000,7,28
10/26/2019,1000 - 1100,11,37
10/26/2019,1100 - 1200,11,51
10/26/2019,1200 - 1300,21,65
10/26/2019,1300 - 1400,17,46
10/26/2019,1400 - 1500,13,72
10/26/2019,1500 - 1600,15,59
10/26/2019,1600 - 1700,24,58
10/26/2019,1700 - 1800,15,20
10/26/2019,1800 - 1900,12,30
10/26/2019,1900 - 2000,13,32
10/26/2019,2000 - 2100,15,34
