date,hour,Average Wait Time,Max Wait Time,time
10/19/2019,1200 - 1300,25,47,396
10/19/2019,1300 - 1400,20,48,397
10/19/2019,1400 - 1500,28,57,398
10/19/2019,1500 - 1600,31,64,399
10/19/2019,1600 - 1700,29,50,400
10/19/2019,1700 - 1800,21,41,401
10/19/2019,1800 - 1900,25,51,402
10/19/2019,1900 - 2000,24,51,403
10/19/2019,2000 - 2100,26,41,404
10/19/2019,2100 - 2200,11,28,405
10/19/2019,0500 - 0600,45,102,389
10/19/2019,0600 - 0700,46,117,390
10/19/2019,0700 - 0800,39,121,391
10/19/2019,0800 - 0900,25,69,392
10/19/2019,1000 - 1100,15,52,394
10/19/2019,1100 - 1200,13,28,395
10/19/2019,1200 - 1300,30,124,396
10/19/2019,1300 - 1400,58,158,397
10/19/2019,1400 - 1500,57,134,398
10/19/2019,1500 - 1600,72,138,399
10/19/2019,1600 - 1700,47,100,400
10/19/2019,1700 - 1800,20,49,401
10/19/2019,1800 - 1900,16,41,402
10/19/2019,1900 - 2000,21,43,403
10/19/2019,2000 - 2100,22,65,404
10/20/2019,0000 - 0100,8,19,408
10/20/2019,0100 - 0200,11,19,409
10/20/2019,0900 - 1000,11,19,417
10/20/2019,1000 - 1100,49,120,418
10/20/2019,1100 - 1200,40,70,419
10/20/2019,1200 - 1300,25,36,420
10/20/2019,1300 - 1400,16,38,421
10/20/2019,1400 - 1500,36,86,422
10/20/2019,1500 - 1600,45,77,423
10/20/2019,1600 - 1700,29,55,424
10/20/2019,1800 - 1900,34,107,426
10/20/2019,1900 - 2000,45,105,427
10/20/2019,2000 - 2100,33,60,428
10/20/2019,2100 - 2200,26,52,429
10/20/2019,2200 - 2300,17,44,430
10/20/2019,2300 - 0000,6,11,431
10/20/2019,0600 - 0700,31,104,414
10/20/2019,0700 - 0800,19,42,415
10/20/2019,0800 - 0900,15,41,416
10/20/2019,0900 - 1000,21,61,417
10/20/2019,1000 - 1100,14,27,418
10/20/2019,1100 - 1200,21,50,419
10/20/2019,1300 - 1400,20,59,421
10/20/2019,1400 - 1500,20,57,422
10/20/2019,1500 - 1600,18,48,423
10/20/2019,1600 - 1700,21,61,424
10/20/2019,1700 - 1800,28,44,425
10/20/2019,1900 - 2000,15,37,427
10/20/2019,2000 - 2100,18,61,428
10/20/2019,2100 - 2200,10,18,429
10/21/2019,0000 - 0100,8,14,432
10/21/2019,0900 - 1000,30,70,441
10/21/2019,1000 - 1100,20,43,442
10/21/2019,1100 - 1200,29,56,443
10/21/2019,1200 - 1300,20,38,444
10/21/2019,1400 - 1500,37,82,446
10/21/2019,1500 - 1600,57,106,447
10/21/2019,1600 - 1700,30,66,448
10/21/2019,1700 - 1800,20,47,449
10/21/2019,1800 - 1900,18,42,450
10/21/2019,1900 - 2000,23,48,451
10/21/2019,2000 - 2100,19,38,452
10/21/2019,2100 - 2200,16,37,453
10/21/2019,0500 - 0600,27,46,437
10/21/2019,0600 - 0700,16,39,438
10/21/2019,0700 - 0800,11,22,439
10/21/2019,0800 - 0900,11,26,440
10/21/2019,0900 - 1000,23,78,441
10/21/2019,1000 - 1100,37,104,442
10/21/2019,1100 - 1200,34,75,443
10/21/2019,1200 - 1300,41,139,444
10/21/2019,1300 - 1400,56,147,445
10/21/2019,1400 - 1500,40,108,446
10/21/2019,1500 - 1600,21,56,447
10/21/2019,1600 - 1700,18,47,448
