date,hour,Average Wait Time,Max WaitTime
10/20/2019,2100 - 2200,26,52
10/20/2019,2200 - 2300,17,44
10/20/2019,2300 - 0000,6,11
10/20/2019,0600 - 0700,31,104
10/20/2019,0700 - 0800,19,42
10/20/2019,0800 - 0900,15,41
10/20/2019,0900 - 1000,21,61
10/20/2019,1000 - 1100,14,27
10/20/2019,1100 - 1200,21,50
10/20/2019,1300 - 1400,20,59
10/20/2019,1400 - 1500,20,57
10/20/2019,1500 - 1600,18,48
10/20/2019,1600 - 1700,21,61
10/20/2019,1700 - 1800,28,44
10/20/2019,1900 - 2000,15,37
10/20/2019,2000 - 2100,18,61
10/20/2019,2100 - 2200,10,18
10/21/2019,0000 - 0100,8,14
10/21/2019,0900 - 1000,30,70
10/21/2019,1000 - 1100,20,43
10/21/2019,1100 - 1200,29,56
10/21/2019,1200 - 1300,20,38
10/21/2019,1400 - 1500,37,82
10/21/2019,1500 - 1600,57,106
10/21/2019,1600 - 1700,30,66
10/21/2019,1700 - 1800,20,47
10/21/2019,1800 - 1900,18,42
10/21/2019,1900 - 2000,23,48
10/21/2019,2000 - 2100,19,38
10/21/2019,2100 - 2200,16,37
10/21/2019,0500 - 0600,27,46
10/21/2019,0600 - 0700,16,39
10/21/2019,0700 - 0800,11,22
10/21/2019,0800 - 0900,11,26
10/21/2019,0900 - 1000,23,78
10/21/2019,1000 - 1100,37,104
10/21/2019,1100 - 1200,34,75
10/21/2019,1200 - 1300,41,139
10/21/2019,1300 - 1400,56,147
10/21/2019,1400 - 1500,40,108
10/21/2019,1500 - 1600,21,56
10/21/2019,1600 - 1700,18,47
10/21/2019,1800 - 1900,16,36
10/21/2019,1900 - 2000,24,72
10/21/2019,2000 - 2100,35,84
10/22/2019,0000 - 0100,12,23
10/22/2019,0900 - 1000,14,27
10/22/2019,1000 - 1100,17,36
10/22/2019,1100 - 1200,23,51
10/22/2019,1200 - 1300,35,63
10/22/2019,1300 - 1400,16,49
10/22/2019,1400 - 1500,40,82
10/22/2019,1600 - 1700,16,39
10/22/2019,1700 - 1800,22,47
10/22/2019,1800 - 1900,21,58
10/22/2019,1900 - 2000,34,73
10/22/2019,2000 - 2100,21,36
10/22/2019,2100 - 2200,11,25
10/22/2019,2200 - 2300,12,30
10/22/2019,0500 - 0600,33,52
10/22/2019,0600 - 0700,13,27
10/22/2019,0800 - 0900,11,20
10/22/2019,0900 - 1000,18,38
10/22/2019,1000 - 1100,10,29
10/22/2019,1100 - 1200,35,56
10/22/2019,1200 - 1300,36,90
10/22/2019,1300 - 1400,31,67
10/22/2019,1400 - 1500,22,68
10/22/2019,1500 - 1600,36,82
10/22/2019,1600 - 1700,48,94
10/22/2019,1700 - 1800,39,69
10/22/2019,1800 - 1900,10,21
10/22/2019,1900 - 2000,12,30
10/22/2019,2000 - 2100,30,88
10/22/2019,2100 - 2200,21,41
10/23/2019,0000 - 0100,13,24
10/23/2019,0100 - 0200,9,20
10/23/2019,0800 - 0900,22,40
10/23/2019,0900 - 1000,10,20
10/23/2019,1000 - 1100,15,30
10/23/2019,1100 - 1200,35,61
10/23/2019,1200 - 1300,23,42
10/23/2019,1300 - 1400,12,26
10/23/2019,1400 - 1500,30,79
10/23/2019,1500 - 1600,16,30
10/23/2019,1600 - 1700,16,36
10/23/2019,1700 - 1800,22,58
10/23/2019,1800 - 1900,33,68
10/23/2019,1900 - 2000,17,43
10/23/2019,2000 - 2100,27,52
10/23/2019,2100 - 2200,15,45
10/23/2019,0500 - 0600,32,87
10/23/2019,0600 - 0700,28,68
10/23/2019,0700 - 0800,31,68
10/23/2019,0800 - 0900,17,44
10/23/2019,0900 - 1000,16,47
10/23/2019,1000 - 1100,11,31
10/23/2019,1100 - 1200,17,38
10/23/2019,1200 - 1300,50,125
10/23/2019,1300 - 1400,61,137
10/23/2019,1400 - 1500,47,128
10/23/2019,1500 - 1600,31,85
10/23/2019,1600 - 1700,37,86
10/23/2019,1800 - 1900,9,23
10/23/2019,1900 - 2000,17,53
10/23/2019,2000 - 2100,14,41
10/23/2019,2100 - 2200,13,21
10/24/2019,0000 - 0100,7,18
10/24/2019,0800 - 0900,23,39
10/24/2019,0900 - 1000,6,15
10/24/2019,1000 - 1100,16,32
10/24/2019,1100 - 1200,61,110
10/24/2019,1200 - 1300,48,83
10/24/2019,1300 - 1400,21,47
10/24/2019,1400 - 1500,48,88
10/24/2019,1500 - 1600,12,29
10/24/2019,1600 - 1700,20,42
10/24/2019,1700 - 1800,25,50
10/24/2019,1800 - 1900,18,32
10/24/2019,1900 - 2000,38,90
10/24/2019,2000 - 2100,41,68
10/24/2019,2200 - 2300,9,24
10/24/2019,2300 - 0000,10,23
10/24/2019,0500 - 0600,10,25
10/24/2019,0600 - 0700,17,42
10/24/2019,0800 - 0900,10,27
10/24/2019,0900 - 1000,14,32
10/24/2019,1000 - 1100,14,43
10/24/2019,1100 - 1200,23,39
10/24/2019,1200 - 1300,50,164
10/24/2019,1300 - 1400,48,124
10/24/2019,1400 - 1500,53,151
10/24/2019,1500 - 1600,52,150
10/24/2019,1600 - 1700,36,94
10/24/2019,1800 - 1900,17,39
10/24/2019,1900 - 2000,28,128
10/24/2019,2000 - 2100,36,115
10/25/2019,0000 - 0100,11,22
10/25/2019,0900 - 1000,19,39
10/25/2019,1000 - 1100,16,28
10/25/2019,1100 - 1200,33,80
10/25/2019,1200 - 1300,35,52
10/25/2019,1300 - 1400,12,25
10/25/2019,1400 - 1500,37,92
10/25/2019,1500 - 1600,49,81
10/25/2019,1600 - 1700,53,107
10/25/2019,1700 - 1800,38,93
10/25/2019,1800 - 1900,30,80
10/25/2019,1900 - 2000,16,36
10/25/2019,2000 - 2100,43,89
10/25/2019,2100 - 2200,12,24
10/25/2019,2200 - 2300,10,27
10/25/2019,2300 - 0000,10,33
10/25/2019,0600 - 0700,28,89
10/25/2019,0700 - 0800,27,86
10/25/2019,0800 - 0900,16,45
10/25/2019,0900 - 1000,19,36
10/25/2019,1000 - 1100,10,18
10/25/2019,1100 - 1200,23,91
10/25/2019,1200 - 1300,43,121
10/25/2019,1300 - 1400,32,89
10/25/2019,1400 - 1500,30,93
10/25/2019,1500 - 1600,27,52
10/25/2019,1600 - 1700,36,84
10/25/2019,1700 - 1800,17,30
10/25/2019,1800 - 1900,26,38
10/25/2019,1900 - 2000,14,30
10/25/2019,2000 - 2100,25,107
10/25/2019,2100 - 2200,36,84
10/26/2019,0000 - 0100,8,19
10/26/2019,0900 - 1000,35,65
10/26/2019,1000 - 1100,34,95
10/26/2019,1100 - 1200,56,98
10/26/2019,1200 - 1300,56,90
10/26/2019,1300 - 1400,50,104
10/26/2019,1400 - 1500,72,119
10/26/2019,1500 - 1600,34,77
10/26/2019,1600 - 1700,23,44
10/26/2019,1700 - 1800,26,63
10/26/2019,1800 - 1900,40,63
10/26/2019,1900 - 2000,20,56
10/26/2019,2000 - 2100,46,82
10/26/2019,2100 - 2200,17,29
10/26/2019,2200 - 2300,10,26
10/26/2019,2300 - 0000,12,27
10/26/2019,0500 - 0600,10,37
10/26/2019,0600 - 0700,33,81
10/26/2019,0700 - 0800,44,104
10/26/2019,0800 - 0900,21,59
10/26/2019,0900 - 1000,13,30
10/26/2019,1000 - 1100,13,36
10/26/2019,1100 - 1200,12,39
10/26/2019,1200 - 1300,33,100
10/26/2019,1300 - 1400,31,93
10/26/2019,1400 - 1500,32,100
