date,hour,Average Wait Time,Max Wait Time,time
10/17/2019,1600 - 1700,9,31,352
10/17/2019,1700 - 1800,12,44,353
10/17/2019,1800 - 1900,19,91,354
10/17/2019,1900 - 2000,12,60,355
10/17/2019,2200 - 2300,5,28,358
10/17/2019,0500 - 0600,19,61,341
10/17/2019,0600 - 0700,24,42,342
10/17/2019,0700 - 0800,9,35,343
10/17/2019,0800 - 0900,10,36,344
10/17/2019,0900 - 1000,9,50,345
10/17/2019,1000 - 1100,4,25,346
10/17/2019,1200 - 1300,16,52,348
10/17/2019,1300 - 1400,8,31,349
10/17/2019,1400 - 1500,18,47,350
10/17/2019,1500 - 1600,15,34,351
10/17/2019,1600 - 1700,11,40,352
10/17/2019,1700 - 1800,12,35,353
10/17/2019,1800 - 1900,11,26,354
10/17/2019,1900 - 2000,13,42,355
10/17/2019,2000 - 2100,14,32,356
10/18/2019,0000 - 0100,6,22,360
10/18/2019,0800 - 0900,31,53,368
10/18/2019,0900 - 1000,6,14,369
10/18/2019,1000 - 1100,10,45,370
10/18/2019,1200 - 1300,10,39,372
10/18/2019,1300 - 1400,10,32,373
10/18/2019,1400 - 1500,12,56,374
10/18/2019,1500 - 1600,9,42,375
10/18/2019,1600 - 1700,9,15,376
10/18/2019,1700 - 1800,16,44,377
10/18/2019,1800 - 1900,20,65,378
10/18/2019,1900 - 2000,17,62,379
10/18/2019,2100 - 2200,14,38,381
10/18/2019,2300 - 0000,10,20,383
10/18/2019,0500 - 0600,30,71,365
10/18/2019,0600 - 0700,22,66,366
10/18/2019,0700 - 0800,11,37,367
10/18/2019,0800 - 0900,16,68,368
10/18/2019,0900 - 1000,18,55,369
10/18/2019,1000 - 1100,4,17,370
10/18/2019,1100 - 1200,3,14,371
10/18/2019,1200 - 1300,13,46,372
10/18/2019,1300 - 1400,17,65,373
10/18/2019,1400 - 1500,14,48,374
10/18/2019,1500 - 1600,10,25,375
10/18/2019,1600 - 1700,27,69,376
10/18/2019,1900 - 2000,13,28,379
10/18/2019,2000 - 2100,20,67,380
10/19/2019,0000 - 0100,9,33,384
10/19/2019,0900 - 1000,8,39,393
10/19/2019,1000 - 1100,9,19,394
10/19/2019,1100 - 1200,15,104,395
10/19/2019,1200 - 1300,12,32,396
10/19/2019,1300 - 1400,11,45,397
10/19/2019,1400 - 1500,10,39,398
10/19/2019,1500 - 1600,13,55,399
10/19/2019,1600 - 1700,11,28,400
10/19/2019,1700 - 1800,12,41,401
10/19/2019,1800 - 1900,16,50,402
10/19/2019,1900 - 2000,12,52,403
10/19/2019,2000 - 2100,14,41,404
10/19/2019,2100 - 2200,6,22,405
10/19/2019,0500 - 0600,47,102,389
10/19/2019,0600 - 0700,29,94,390
10/19/2019,0700 - 0800,23,110,391
10/19/2019,0800 - 0900,13,34,392
10/19/2019,1000 - 1100,10,31,394
10/19/2019,1100 - 1200,9,26,395
10/19/2019,1200 - 1300,26,89,396
10/19/2019,1300 - 1400,17,47,397
10/19/2019,1400 - 1500,29,60,398
10/19/2019,1500 - 1600,23,67,399
10/19/2019,1600 - 1700,23,49,400
10/19/2019,1700 - 1800,12,29,401
10/19/2019,1800 - 1900,5,22,402
10/19/2019,1900 - 2000,16,43,403
10/19/2019,2000 - 2100,17,45,404
10/20/2019,0000 - 0100,6,12,408
10/20/2019,0100 - 0200,7,18,409
10/20/2019,0900 - 1000,6,17,417
10/20/2019,1000 - 1100,15,107,418
10/20/2019,1100 - 1200,16,48,419
10/20/2019,1200 - 1300,11,27,420
10/20/2019,1300 - 1400,10,33,421
10/20/2019,1400 - 1500,14,85,422
10/20/2019,1500 - 1600,14,39,423
10/20/2019,1600 - 1700,9,50,424
10/20/2019,1800 - 1900,27,81,426
10/20/2019,1900 - 2000,25,76,427
10/20/2019,2000 - 2100,15,57,428
10/20/2019,2100 - 2200,17,34,429
10/20/2019,2200 - 2300,9,36,430
10/20/2019,2300 - 0000,4,12,431
10/20/2019,0600 - 0700,23,70,414
10/20/2019,0700 - 0800,13,38,415
10/20/2019,0800 - 0900,8,40,416
10/20/2019,0900 - 1000,11,32,417
10/20/2019,1000 - 1100,13,24,418
10/20/2019,1100 - 1200,11,37,419
10/20/2019,1300 - 1400,12,34,421
10/20/2019,1400 - 1500,14,46,422
10/20/2019,1500 - 1600,15,36,423
10/20/2019,1600 - 1700,15,42,424
10/20/2019,1700 - 1800,10,25,425
10/20/2019,1900 - 2000,11,29,427
10/20/2019,2000 - 2100,12,59,428
10/20/2019,2100 - 2200,6,14,429
10/21/2019,0000 - 0100,5,13,432
10/21/2019,0900 - 1000,22,56,441
10/21/2019,1000 - 1100,12,36,442
10/21/2019,1100 - 1200,15,57,443
10/21/2019,1200 - 1300,11,27,444
10/21/2019,1400 - 1500,14,75,446
10/21/2019,1500 - 1600,12,73,447
10/21/2019,1600 - 1700,14,56,448
10/21/2019,1700 - 1800,14,37,449
10/21/2019,1800 - 1900,13,40,450
10/21/2019,1900 - 2000,14,48,451
10/21/2019,2000 - 2100,14,36,452
10/21/2019,2100 - 2200,10,34,453
10/21/2019,0500 - 0600,27,46,437
10/21/2019,0600 - 0700,12,28,438
10/21/2019,0700 - 0800,7,22,439
10/21/2019,0800 - 0900,9,24,440
10/21/2019,0900 - 1000,11,77,441
10/21/2019,1000 - 1100,15,83,442
10/21/2019,1100 - 1200,19,46,443
10/21/2019,1200 - 1300,29,72,444
10/21/2019,1300 - 1400,24,123,445
10/21/2019,1400 - 1500,28,51,446
10/21/2019,1500 - 1600,10,22,447
10/21/2019,1600 - 1700,11,35,448
10/21/2019,1800 - 1900,7,17,450
10/21/2019,1900 - 2000,26,72,451
10/21/2019,2000 - 2100,33,77,452
10/22/2019,0000 - 0100,9,23,456
10/22/2019,0900 - 1000,10,24,465
10/22/2019,1000 - 1100,12,26,466
10/22/2019,1100 - 1200,17,43,467
10/22/2019,1200 - 1300,21,57,468
10/22/2019,1300 - 1400,14,35,469
10/22/2019,1400 - 1500,15,70,470
10/22/2019,1600 - 1700,11,40,472
10/22/2019,1700 - 1800,16,44,473
10/22/2019,1800 - 1900,15,52,474
10/22/2019,1900 - 2000,17,55,475
10/22/2019,2000 - 2100,12,31,476
10/22/2019,2100 - 2200,11,22,477
10/22/2019,2200 - 2300,7,29,478
10/22/2019,0500 - 0600,38,52,461
10/22/2019,0600 - 0700,12,27,462
10/22/2019,0800 - 0900,6,20,464
10/22/2019,0900 - 1000,13,38,465
10/22/2019,1000 - 1100,7,26,466
10/22/2019,1100 - 1200,24,52,467
10/22/2019,1200 - 1300,21,69,468
10/22/2019,1300 - 1400,15,40,469
10/22/2019,1400 - 1500,17,48,470
10/22/2019,1500 - 1600,18,60,471
10/22/2019,1600 - 1700,37,81,472
10/22/2019,1700 - 1800,22,49,473
10/22/2019,1800 - 1900,7,16,474
10/22/2019,1900 - 2000,9,30,475
10/22/2019,2000 - 2100,26,73,476
10/22/2019,2100 - 2200,20,32,477
10/23/2019,0000 - 0100,11,18,480
10/23/2019,0100 - 0200,6,20,481
10/23/2019,0800 - 0900,16,28,488
10/23/2019,0900 - 1000,2,7,489
10/23/2019,1000 - 1100,9,30,490
10/23/2019,1100 - 1200,13,61,491
10/23/2019,1200 - 1300,11,34,492
10/23/2019,1300 - 1400,9,25,493
10/23/2019,1400 - 1500,14,68,494
10/23/2019,1500 - 1600,6,30,495
10/23/2019,1600 - 1700,10,29,496
10/23/2019,1700 - 1800,11,38,497
10/23/2019,1800 - 1900,15,46,498
10/23/2019,1900 - 2000,13,43,499
10/23/2019,2000 - 2100,14,47,500
10/23/2019,2100 - 2200,7,45,501
10/23/2019,0500 - 0600,34,87,485
10/23/2019,0600 - 0700,29,65,486
10/23/2019,0700 - 0800,21,62,487
10/23/2019,0800 - 0900,13,41,488
10/23/2019,0900 - 1000,10,36,489
10/23/2019,1000 - 1100,6,27,490
10/23/2019,1100 - 1200,11,31,491
10/23/2019,1200 - 1300,24,78,492
10/23/2019,1300 - 1400,16,130,493
10/23/2019,1400 - 1500,21,60,494
10/23/2019,1500 - 1600,20,46,495
10/23/2019,1600 - 1700,27,72,496
10/23/2019,1800 - 1900,6,19,498
10/23/2019,1900 - 2000,16,44,499
10/23/2019,2000 - 2100,16,41,500
10/23/2019,2100 - 2200,12,21,501
10/24/2019,0000 - 0100,4,19,504
10/24/2019,0800 - 0900,15,31,512
10/24/2019,0900 - 1000,4,10,513
10/24/2019,1000 - 1100,10,27,514
10/24/2019,1100 - 1200,15,64,515
10/24/2019,1200 - 1300,11,78,516
10/24/2019,1300 - 1400,13,39,517
10/24/2019,1400 - 1500,12,70,518
10/24/2019,1500 - 1600,8,29,519
10/24/2019,1600 - 1700,10,38,520
10/24/2019,1700 - 1800,15,34,521
10/24/2019,1800 - 1900,12,30,522
10/24/2019,1900 - 2000,24,91,523
10/24/2019,2000 - 2100,18,59,524
10/24/2019,2200 - 2300,4,19,526
10/24/2019,2300 - 0000,5,14,527
10/24/2019,0500 - 0600,12,25,509
10/24/2019,0600 - 0700,14,35,510
10/24/2019,0800 - 0900,8,23,512
10/24/2019,0900 - 1000,8,28,513
10/24/2019,1000 - 1100,15,43,514
10/24/2019,1100 - 1200,17,36,515
10/24/2019,1200 - 1300,37,154,516
10/24/2019,1300 - 1400,18,53,517
